[11:55:21] [ServerMain/INFO]: Building unoptimized datafixer
[11:55:22] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[11:55:25] [ServerMain/INFO]: Loaded 7 recipes
[11:55:26] [ServerMain/INFO]: Loaded 1179 advancements
[11:55:27] [Server thread/INFO]: Starting minecraft server version 1.19.2
[11:55:27] [Server thread/INFO]: Loading properties
[11:55:27] [Server thread/INFO]: Default game type: SURVIVAL
[11:55:27] [Server thread/INFO]: Generating keypair
[11:55:28] [Server thread/INFO]: Starting Minecraft server on *:25565
[11:55:28] [Server thread/INFO]: Using default channel type
[11:55:29] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[11:55:29] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[11:55:29] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[11:55:29] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[11:55:29] [Server thread/INFO]: Preparing level "world"
[11:56:13] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[11:56:13] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[11:56:14] [Worker-Main-1/INFO]: Preparing spawn area: 7%
[11:56:14] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[11:56:15] [Worker-Main-3/INFO]: Preparing spawn area: 7%
[11:56:15] [Worker-Main-1/INFO]: Preparing spawn area: 7%
[11:56:16] [Worker-Main-3/INFO]: Preparing spawn area: 8%
[11:56:17] [Worker-Main-3/INFO]: Preparing spawn area: 8%
[11:56:17] [Worker-Main-1/INFO]: Preparing spawn area: 8%
[11:56:17] [Worker-Main-3/INFO]: Preparing spawn area: 9%
[11:56:18] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[11:56:18] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[11:56:19] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[11:56:19] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[11:56:20] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[11:56:20] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[11:56:21] [Worker-Main-1/INFO]: Preparing spawn area: 10%
[11:56:21] [Worker-Main-1/INFO]: Preparing spawn area: 10%
[11:56:22] [Worker-Main-1/INFO]: Preparing spawn area: 10%
[11:56:22] [Worker-Main-3/INFO]: Preparing spawn area: 11%
[11:56:23] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[11:56:23] [Worker-Main-1/INFO]: Preparing spawn area: 12%
[11:56:24] [Worker-Main-3/INFO]: Preparing spawn area: 13%
[11:56:24] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[11:56:25] [Worker-Main-1/INFO]: Preparing spawn area: 14%
[11:56:25] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[11:56:26] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[11:56:26] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[11:56:27] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[11:56:27] [Worker-Main-3/INFO]: Preparing spawn area: 16%
[11:56:28] [Worker-Main-1/INFO]: Preparing spawn area: 16%
[11:56:28] [Worker-Main-3/INFO]: Preparing spawn area: 16%
[11:56:29] [Worker-Main-3/INFO]: Preparing spawn area: 17%
[11:56:29] [Worker-Main-2/INFO]: Preparing spawn area: 18%
[11:56:30] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[11:56:30] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[11:56:31] [Worker-Main-3/INFO]: Preparing spawn area: 20%
[11:56:31] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[11:56:32] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[11:56:32] [Worker-Main-3/INFO]: Preparing spawn area: 23%
[11:56:33] [Worker-Main-1/INFO]: Preparing spawn area: 23%
[11:56:33] [Worker-Main-3/INFO]: Preparing spawn area: 24%
[11:56:34] [Worker-Main-3/INFO]: Preparing spawn area: 24%
[11:56:34] [Worker-Main-1/INFO]: Preparing spawn area: 25%
[11:56:35] [Worker-Main-3/INFO]: Preparing spawn area: 26%
[11:56:35] [Worker-Main-3/INFO]: Preparing spawn area: 27%
[11:56:36] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[11:56:36] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[11:56:37] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[11:56:37] [Worker-Main-3/INFO]: Preparing spawn area: 28%
[11:56:38] [Worker-Main-2/INFO]: Preparing spawn area: 28%
[11:56:38] [Worker-Main-2/INFO]: Preparing spawn area: 29%
[11:56:39] [Worker-Main-1/INFO]: Preparing spawn area: 30%
[11:56:39] [Worker-Main-1/INFO]: Preparing spawn area: 31%
[11:56:40] [Worker-Main-3/INFO]: Preparing spawn area: 32%
[11:56:40] [Worker-Main-1/INFO]: Preparing spawn area: 32%
[11:56:41] [Worker-Main-1/INFO]: Preparing spawn area: 32%
[11:56:41] [Worker-Main-3/INFO]: Preparing spawn area: 33%
[11:56:42] [Worker-Main-1/INFO]: Preparing spawn area: 34%
[11:56:42] [Worker-Main-1/INFO]: Preparing spawn area: 34%
[11:56:43] [Worker-Main-3/INFO]: Preparing spawn area: 36%
[11:56:43] [Worker-Main-1/INFO]: Preparing spawn area: 36%
[11:56:44] [Worker-Main-2/INFO]: Preparing spawn area: 37%
[11:56:44] [Worker-Main-1/INFO]: Preparing spawn area: 38%
[11:56:45] [Worker-Main-1/INFO]: Preparing spawn area: 39%
[11:56:45] [Worker-Main-1/INFO]: Preparing spawn area: 39%
[11:56:46] [Worker-Main-1/INFO]: Preparing spawn area: 41%
[11:56:46] [Worker-Main-3/INFO]: Preparing spawn area: 42%
[11:56:47] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[11:56:47] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[11:56:48] [Worker-Main-3/INFO]: Preparing spawn area: 44%
[11:56:48] [Worker-Main-1/INFO]: Preparing spawn area: 44%
[11:56:49] [Worker-Main-1/INFO]: Preparing spawn area: 45%
[11:56:49] [Worker-Main-3/INFO]: Preparing spawn area: 46%
[11:56:50] [Worker-Main-3/INFO]: Preparing spawn area: 47%
[11:56:50] [Worker-Main-3/INFO]: Preparing spawn area: 48%
[11:56:51] [Worker-Main-1/INFO]: Preparing spawn area: 50%
[11:56:51] [Worker-Main-1/INFO]: Preparing spawn area: 50%
[11:56:52] [Worker-Main-3/INFO]: Preparing spawn area: 51%
[11:56:52] [Worker-Main-1/INFO]: Preparing spawn area: 52%
[11:56:53] [Worker-Main-3/INFO]: Preparing spawn area: 53%
[11:56:53] [Worker-Main-1/INFO]: Preparing spawn area: 54%
[11:56:54] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[11:56:54] [Worker-Main-3/INFO]: Preparing spawn area: 55%
[11:56:55] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[11:56:55] [Worker-Main-1/INFO]: Preparing spawn area: 56%
[11:56:56] [Worker-Main-1/INFO]: Preparing spawn area: 56%
[11:56:56] [Worker-Main-3/INFO]: Preparing spawn area: 56%
[11:56:57] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[11:56:57] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[11:56:58] [Worker-Main-1/INFO]: Preparing spawn area: 58%
[11:56:58] [Worker-Main-1/INFO]: Preparing spawn area: 59%
[11:56:59] [Worker-Main-1/INFO]: Preparing spawn area: 59%
[11:56:59] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[11:57:00] [Worker-Main-3/INFO]: Preparing spawn area: 60%
[11:57:00] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[11:57:01] [Worker-Main-3/INFO]: Preparing spawn area: 60%
[11:57:01] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[11:57:02] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[11:57:02] [Worker-Main-1/INFO]: Preparing spawn area: 62%
[11:57:03] [Worker-Main-1/INFO]: Preparing spawn area: 62%
[11:57:03] [Worker-Main-2/INFO]: Preparing spawn area: 63%
[11:57:04] [Worker-Main-3/INFO]: Preparing spawn area: 64%
[11:57:04] [Worker-Main-1/INFO]: Preparing spawn area: 65%
[11:57:05] [Worker-Main-2/INFO]: Preparing spawn area: 65%
[11:57:05] [Worker-Main-2/INFO]: Preparing spawn area: 66%
[11:57:06] [Worker-Main-3/INFO]: Preparing spawn area: 67%
[11:57:06] [Worker-Main-3/INFO]: Preparing spawn area: 67%
[11:57:07] [Worker-Main-3/INFO]: Preparing spawn area: 68%
[11:57:07] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[11:57:08] [Worker-Main-1/INFO]: Preparing spawn area: 69%
[11:57:08] [Worker-Main-1/INFO]: Preparing spawn area: 69%
[11:57:09] [Worker-Main-2/INFO]: Preparing spawn area: 70%
[11:57:09] [Worker-Main-2/INFO]: Preparing spawn area: 70%
[11:57:10] [Worker-Main-1/INFO]: Preparing spawn area: 72%
[11:57:10] [Worker-Main-1/INFO]: Preparing spawn area: 72%
[11:57:11] [Worker-Main-1/INFO]: Preparing spawn area: 74%
[11:57:11] [Worker-Main-1/INFO]: Preparing spawn area: 74%
[11:57:12] [Worker-Main-1/INFO]: Preparing spawn area: 74%
[11:57:12] [Worker-Main-3/INFO]: Preparing spawn area: 74%
[11:57:13] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[11:57:13] [Worker-Main-3/INFO]: Preparing spawn area: 75%
[11:57:14] [Worker-Main-3/INFO]: Preparing spawn area: 77%
[11:57:14] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[11:57:15] [Worker-Main-3/INFO]: Preparing spawn area: 79%
[11:57:15] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[11:57:16] [Worker-Main-2/INFO]: Preparing spawn area: 81%
[11:57:16] [Worker-Main-1/INFO]: Preparing spawn area: 82%
[11:57:17] [Worker-Main-2/INFO]: Preparing spawn area: 82%
[11:57:17] [Worker-Main-3/INFO]: Preparing spawn area: 83%
[11:57:18] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[11:57:18] [Worker-Main-1/INFO]: Preparing spawn area: 84%
[11:57:19] [Worker-Main-3/INFO]: Preparing spawn area: 85%
[11:57:19] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[11:57:20] [Worker-Main-3/INFO]: Preparing spawn area: 87%
[11:57:20] [Worker-Main-1/INFO]: Preparing spawn area: 88%
[11:57:21] [Worker-Main-3/INFO]: Preparing spawn area: 88%
[11:57:21] [Worker-Main-3/INFO]: Preparing spawn area: 89%
[11:57:22] [Worker-Main-1/INFO]: Preparing spawn area: 91%
[11:57:22] [Worker-Main-1/INFO]: Preparing spawn area: 92%
[11:57:23] [Worker-Main-1/INFO]: Preparing spawn area: 93%
[11:57:23] [Worker-Main-3/INFO]: Preparing spawn area: 94%
[11:57:24] [Worker-Main-1/INFO]: Preparing spawn area: 95%
[11:57:24] [Worker-Main-2/INFO]: Preparing spawn area: 96%
[11:57:25] [Worker-Main-3/INFO]: Preparing spawn area: 97%
[11:57:25] [Worker-Main-3/INFO]: Preparing spawn area: 99%
[11:57:25] [Server thread/INFO]: Time elapsed: 89714 ms
[11:57:25] [Server thread/INFO]: Done (116.506s)! For help, type "help"
[11:57:26] [Server thread/INFO]: com.mojang.authlib.GameProfile@28dd0b6b[id=<null>,name=CarlosGomez01,properties={},legacy=false] (/127.0.0.1:62439) lost connection: Disconnected
[11:57:39] [Server thread/INFO]: CarlosGomez01[/127.0.0.1:62442] logged in with entity id 232 at (216.5, 74.0, -9.5)
[11:57:40] [Server thread/INFO]: CarlosGomez01 joined the game
[11:57:41] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2015ms or 40 ticks behind
[11:58:02] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 6352ms or 127 ticks behind
[11:59:12] [Server thread/INFO]: CarlosGomez01 lost connection: Disconnected
[11:59:12] [Server thread/INFO]: CarlosGomez01 left the game
[11:59:41] [Server thread/INFO]: CarlosGomez01[/192.168.100.80:62454] logged in with entity id 679 at (216.5, 74.0, -9.5)
[11:59:41] [Server thread/INFO]: CarlosGomez01 joined the game
[12:02:25] [Server thread/INFO]: CarlosGomez01 has made the advancement [Stone Age]
[12:04:34] [Server thread/INFO]: CarlosGomez01 has made the advancement [Getting an Upgrade]
[12:12:21] [Server thread/INFO]: CarlosGomez01 has made the advancement [Acquire Hardware]
[12:17:11] [Server thread/INFO]: ELCuBITO_04[/192.168.100.82:52790] logged in with entity id 4411 at (204.5, 76.0, -1.5)
[12:17:11] [Server thread/INFO]: ELCuBITO_04 joined the game
[12:18:34] [Server thread/INFO]: ELCuBITO_04 has made the advancement [Stone Age]
[12:18:43] [Server thread/INFO]: ELCuBITO_04 has made the advancement [Getting an Upgrade]
[12:26:05] [Server thread/INFO]: ELCuBITO_04 has made the advancement [Acquire Hardware]
[12:33:09] [Server thread/INFO]: ELCuBITO_04 has made the advancement [Not Today, Thank You]
[12:33:16] [Server thread/INFO]: ELCuBITO_04 has made the advancement [Monster Hunter]
[12:35:27] [Server thread/INFO]: /advancement (grant|revoke)
[12:35:27] [Server thread/INFO]: /attribute <target> <attribute> (get|base|modifier)
[12:35:27] [Server thread/INFO]: /execute (run|if|unless|as|at|store|positioned|rotated|facing|align|anchored|in)
[12:35:27] [Server thread/INFO]: /bossbar (add|remove|list|set|get)
[12:35:27] [Server thread/INFO]: /clear [<targets>]
[12:35:27] [Server thread/INFO]: /clone <begin> <end> <destination> [replace|masked|filtered]
[12:35:27] [Server thread/INFO]: /data (merge|get|remove|modify)
[12:35:27] [Server thread/INFO]: /datapack (enable|disable|list)
[12:35:27] [Server thread/INFO]: /debug (start|stop|function)
[12:35:27] [Server thread/INFO]: /defaultgamemode (survival|creative|adventure|spectator)
[12:35:27] [Server thread/INFO]: /difficulty [peaceful|easy|normal|hard]
[12:35:27] [Server thread/INFO]: /effect (clear|give)
[12:35:27] [Server thread/INFO]: /me <action>
[12:35:27] [Server thread/INFO]: /enchant <targets> <enchantment> [<level>]
[12:35:27] [Server thread/INFO]: /experience (add|set|query)
[12:35:27] [Server thread/INFO]: /xp -> experience
[12:35:27] [Server thread/INFO]: /fill <from> <to> <block> [replace|keep|outline|hollow|destroy]
[12:35:27] [Server thread/INFO]: /forceload (add|remove|query)
[12:35:27] [Server thread/INFO]: /function <name>
[12:35:27] [Server thread/INFO]: /gamemode (survival|creative|adventure|spectator)
[12:35:27] [Server thread/INFO]: /gamerule (announceAdvancements|commandBlockOutput|disableElytraMovementCheck|disableRaids|doDaylightCycle|doEntityDrops|doFireTick|doImmediateRespawn|doInsomnia|doLimitedCrafting|doMobLoot|doMobSpawning|doPatrolSpawning|doTileDrops|doTraderSpawning|doWardenSpawning|doWeatherCycle|drowningDamage|fallDamage|fireDamage|forgiveDeadPlayers|freezeDamage|keepInventory|logAdminCommands|maxCommandChainLength|maxEntityCramming|mobGriefing|naturalRegeneration|playersSleepingPercentage|randomTickSpeed|reducedDebugInfo|sendCommandFeedback|showDeathMessages|spawnRadius|spectatorsGenerateChunks|universalAnger)
[12:35:27] [Server thread/INFO]: /give <targets> <item> [<count>]
[12:35:27] [Server thread/INFO]: /help [<command>]
[12:35:27] [Server thread/INFO]: /item (replace|modify)
[12:35:27] [Server thread/INFO]: /kick <targets> [<reason>]
[12:35:27] [Server thread/INFO]: /kill [<targets>]
[12:35:27] [Server thread/INFO]: /list [uuids]
[12:35:27] [Server thread/INFO]: /locate (structure|biome|poi)
[12:35:27] [Server thread/INFO]: /loot (replace|insert|give|spawn)
[12:35:27] [Server thread/INFO]: /msg <targets> <message>
[12:35:27] [Server thread/INFO]: /tell -> msg
[12:35:27] [Server thread/INFO]: /w -> msg
[12:35:27] [Server thread/INFO]: /particle <name> [<pos>]
[12:35:27] [Server thread/INFO]: /place (feature|jigsaw|structure|template)
[12:35:27] [Server thread/INFO]: /playsound <sound> (master|music|record|weather|block|hostile|neutral|player|ambient|voice)
[12:35:27] [Server thread/INFO]: /reload
[12:35:27] [Server thread/INFO]: /recipe (give|take)
[12:35:27] [Server thread/INFO]: /say <message>
[12:35:27] [Server thread/INFO]: /schedule (function|clear)
[12:35:27] [Server thread/INFO]: /scoreboard (objectives|players)
[12:35:27] [Server thread/INFO]: /seed
[12:35:27] [Server thread/INFO]: /setblock <pos> <block> [destroy|keep|replace]
[12:35:27] [Server thread/INFO]: /spawnpoint [<targets>]
[12:35:27] [Server thread/INFO]: /setworldspawn [<pos>]
[12:35:27] [Server thread/INFO]: /spectate [<target>]
[12:35:27] [Server thread/INFO]: /spreadplayers <center> <spreadDistance> <maxRange> (<respectTeams>|under)
[12:35:27] [Server thread/INFO]: /stopsound <targets> [*|master|music|record|weather|block|hostile|neutral|player|ambient|voice]
[12:35:27] [Server thread/INFO]: /summon <entity> [<pos>]
[12:35:27] [Server thread/INFO]: /tag <targets> (add|remove|list)
[12:35:27] [Server thread/INFO]: /team (list|add|remove|empty|join|leave|modify)
[12:35:27] [Server thread/INFO]: /teammsg <message>
[12:35:27] [Server thread/INFO]: /tm -> teammsg
[12:35:27] [Server thread/INFO]: /teleport (<location>|<destination>|<targets>)
[12:35:27] [Server thread/INFO]: /tp -> teleport
[12:35:27] [Server thread/INFO]: /tellraw <targets> <message>
[12:35:27] [Server thread/INFO]: /time (set|add|query)
[12:35:27] [Server thread/INFO]: /title <targets> (clear|reset|title|subtitle|actionbar|times)
[12:35:27] [Server thread/INFO]: /trigger <objective> [add|set]
[12:35:27] [Server thread/INFO]: /weather (clear|rain|thunder)
[12:35:27] [Server thread/INFO]: /worldborder (add|set|center|damage|get|warning)
[12:35:27] [Server thread/INFO]: /jfr (start|stop)
[12:35:27] [Server thread/INFO]: /ban-ip <target> [<reason>]
[12:35:27] [Server thread/INFO]: /banlist [ips|players]
[12:35:27] [Server thread/INFO]: /ban <targets> [<reason>]
[12:35:27] [Server thread/INFO]: /deop <targets>
[12:35:27] [Server thread/INFO]: /op <targets>
[12:35:27] [Server thread/INFO]: /pardon <targets>
[12:35:27] [Server thread/INFO]: /pardon-ip <target>
[12:35:27] [Server thread/INFO]: /perf (start|stop)
[12:35:27] [Server thread/INFO]: /save-all [flush]
[12:35:27] [Server thread/INFO]: /save-off
[12:35:27] [Server thread/INFO]: /save-on
[12:35:27] [Server thread/INFO]: /setidletimeout <minutes>
[12:35:27] [Server thread/INFO]: /stop
[12:35:27] [Server thread/INFO]: /whitelist (on|off|list|add|remove|reload)
[12:35:30] [Server thread/INFO]: /advancement (grant|revoke)
[12:35:30] [Server thread/INFO]: /attribute <target> <attribute> (get|base|modifier)
[12:35:30] [Server thread/INFO]: /execute (run|if|unless|as|at|store|positioned|rotated|facing|align|anchored|in)
[12:35:30] [Server thread/INFO]: /bossbar (add|remove|list|set|get)
[12:35:30] [Server thread/INFO]: /clear [<targets>]
[12:35:30] [Server thread/INFO]: /clone <begin> <end> <destination> [replace|masked|filtered]
[12:35:30] [Server thread/INFO]: /data (merge|get|remove|modify)
[12:35:30] [Server thread/INFO]: /datapack (enable|disable|list)
[12:35:30] [Server thread/INFO]: /debug (start|stop|function)
[12:35:30] [Server thread/INFO]: /defaultgamemode (survival|creative|adventure|spectator)
[12:35:30] [Server thread/INFO]: /difficulty [peaceful|easy|normal|hard]
[12:35:30] [Server thread/INFO]: /effect (clear|give)
[12:35:30] [Server thread/INFO]: /me <action>
[12:35:30] [Server thread/INFO]: /enchant <targets> <enchantment> [<level>]
[12:35:30] [Server thread/INFO]: /experience (add|set|query)
[12:35:30] [Server thread/INFO]: /xp -> experience
[12:35:30] [Server thread/INFO]: /fill <from> <to> <block> [replace|keep|outline|hollow|destroy]
[12:35:30] [Server thread/INFO]: /forceload (add|remove|query)
[12:35:30] [Server thread/INFO]: /function <name>
[12:35:30] [Server thread/INFO]: /gamemode (survival|creative|adventure|spectator)
[12:35:30] [Server thread/INFO]: /gamerule (announceAdvancements|commandBlockOutput|disableElytraMovementCheck|disableRaids|doDaylightCycle|doEntityDrops|doFireTick|doImmediateRespawn|doInsomnia|doLimitedCrafting|doMobLoot|doMobSpawning|doPatrolSpawning|doTileDrops|doTraderSpawning|doWardenSpawning|doWeatherCycle|drowningDamage|fallDamage|fireDamage|forgiveDeadPlayers|freezeDamage|keepInventory|logAdminCommands|maxCommandChainLength|maxEntityCramming|mobGriefing|naturalRegeneration|playersSleepingPercentage|randomTickSpeed|reducedDebugInfo|sendCommandFeedback|showDeathMessages|spawnRadius|spectatorsGenerateChunks|universalAnger)
[12:35:30] [Server thread/INFO]: /give <targets> <item> [<count>]
[12:35:30] [Server thread/INFO]: /help [<command>]
[12:35:30] [Server thread/INFO]: /item (replace|modify)
[12:35:30] [Server thread/INFO]: /kick <targets> [<reason>]
[12:35:30] [Server thread/INFO]: /kill [<targets>]
[12:35:30] [Server thread/INFO]: /list [uuids]
[12:35:30] [Server thread/INFO]: /locate (structure|biome|poi)
[12:35:30] [Server thread/INFO]: /loot (replace|insert|give|spawn)
[12:35:30] [Server thread/INFO]: /msg <targets> <message>
[12:35:30] [Server thread/INFO]: /tell -> msg
[12:35:30] [Server thread/INFO]: /w -> msg
[12:35:30] [Server thread/INFO]: /particle <name> [<pos>]
[12:35:30] [Server thread/INFO]: /place (feature|jigsaw|structure|template)
[12:35:30] [Server thread/INFO]: /playsound <sound> (master|music|record|weather|block|hostile|neutral|player|ambient|voice)
[12:35:30] [Server thread/INFO]: /reload
[12:35:30] [Server thread/INFO]: /recipe (give|take)
[12:35:30] [Server thread/INFO]: /say <message>
[12:35:30] [Server thread/INFO]: /schedule (function|clear)
[12:35:30] [Server thread/INFO]: /scoreboard (objectives|players)
[12:35:30] [Server thread/INFO]: /seed
[12:35:30] [Server thread/INFO]: /setblock <pos> <block> [destroy|keep|replace]
[12:35:30] [Server thread/INFO]: /spawnpoint [<targets>]
[12:35:30] [Server thread/INFO]: /setworldspawn [<pos>]
[12:35:30] [Server thread/INFO]: /spectate [<target>]
[12:35:30] [Server thread/INFO]: /spreadplayers <center> <spreadDistance> <maxRange> (<respectTeams>|under)
[12:35:30] [Server thread/INFO]: /stopsound <targets> [*|master|music|record|weather|block|hostile|neutral|player|ambient|voice]
[12:35:30] [Server thread/INFO]: /summon <entity> [<pos>]
[12:35:30] [Server thread/INFO]: /tag <targets> (add|remove|list)
[12:35:30] [Server thread/INFO]: /team (list|add|remove|empty|join|leave|modify)
[12:35:30] [Server thread/INFO]: /teammsg <message>
[12:35:30] [Server thread/INFO]: /tm -> teammsg
[12:35:30] [Server thread/INFO]: /teleport (<location>|<destination>|<targets>)
[12:35:30] [Server thread/INFO]: /tp -> teleport
[12:35:30] [Server thread/INFO]: /tellraw <targets> <message>
[12:35:30] [Server thread/INFO]: /time (set|add|query)
[12:35:30] [Server thread/INFO]: /title <targets> (clear|reset|title|subtitle|actionbar|times)
[12:35:30] [Server thread/INFO]: /trigger <objective> [add|set]
[12:35:30] [Server thread/INFO]: /weather (clear|rain|thunder)
[12:35:30] [Server thread/INFO]: /worldborder (add|set|center|damage|get|warning)
[12:35:30] [Server thread/INFO]: /jfr (start|stop)
[12:35:30] [Server thread/INFO]: /ban-ip <target> [<reason>]
[12:35:30] [Server thread/INFO]: /banlist [ips|players]
[12:35:30] [Server thread/INFO]: /ban <targets> [<reason>]
[12:35:30] [Server thread/INFO]: /deop <targets>
[12:35:30] [Server thread/INFO]: /op <targets>
[12:35:30] [Server thread/INFO]: /pardon <targets>
[12:35:30] [Server thread/INFO]: /pardon-ip <target>
[12:35:30] [Server thread/INFO]: /perf (start|stop)
[12:35:30] [Server thread/INFO]: /save-all [flush]
[12:35:30] [Server thread/INFO]: /save-off
[12:35:30] [Server thread/INFO]: /save-on
[12:35:30] [Server thread/INFO]: /setidletimeout <minutes>
[12:35:30] [Server thread/INFO]: /stop
[12:35:30] [Server thread/INFO]: /whitelist (on|off|list|add|remove|reload)
[12:37:15] [Server thread/INFO]: CarlosGomez01 has made the advancement [Isn't It Iron Pick]
